,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Latitude,Longitude,EFOR
0,0.8,0.8,0.8,40.767222,-111.895,1.0
1,0.5,0.5,0.5,40.767222,-111.895,1.0
2,3.0,3.0,3,37.639167,-113.645833,1.0
3,3.0,3.0,3,37.807778,-113.09,1.0
4,3.0,3.0,3,38.023333,-112.731667,1.0
5,3.0,3.0,3,38.291389,-113.008333,1.0
6,3.0,3.0,3,38.291389,-113.035556,1.0
7,2.2,2.2,2.2,38.256111,-112.735833,1.0
8,3.0,3.0,3,38.402778,-112.988889,1.0
9,80.0,80.0,80,37.882778,-112.904167,1.0
10,80.0,80.0,80,37.641111,-113.6125,1.0
11,80.0,80.0,80,38.524167,-113.033889,1.0
12,80.0,80.0,80,38.500833,-113.03,1.0
13,80.0,80.0,80,38.497778,-112.986944,1.0
14,2.9,2.9,2.9,38.311111,-113.053611,1.0
15,50.0,50.0,50,38.960519,-112.36327,1.0
16,3.0,3.0,3,37.794678,-113.283666,1.0
17,3.0,3.0,3,37.750268,-113.253724,1.0
18,3.0,3.0,3,37.731338,-113.216634,1.0
19,80.0,80.0,80,37.7212,-113.1516,1.0
20,50.4,50.4,50.4,37.7989,-113.322,1.0
21,80.0,80.0,80,37.77509,-113.226403,1.0
22,3.0,3.0,3,38.388243,-112.990812,1.0
23,80.0,80.0,80,37.827082,-113.137082,1.0
24,50.0,50.0,50,39.1625,-112.343,1.0
25,20.0,20.0,20,39.154474,-112.359849,1.0
26,3.0,3.0,2.7,37.658223,-113.216679,1.0
27,3.0,3.0,2.7,37.666772,-113.188953,1.0
28,3.0,3.0,2.7,37.649816,-113.236928,1.0
29,92.0,92.0,92,41.629056,-109.683472,1.0
30,2.0,2.0,2,37.043828,-113.627523,1.0
