,Base LOLH,Capacity removed,region,year
0,2.4002999999999997,35254,WECC,2016
1,2.3949,837,PACE,2016
2,2.3983000000000003,1159,LDWP,2018
3,,,WECC,2017
4,2.4011,923,CISO,2016
5,2.4142,739,IPCO,2016
6,2.3986,1362,NEVP,2017
7,2.4106,1682,PGE,2017
8,2.3986,-14,WACM,2018
9,2.3989000000000003,34302,WECC,2018
10,2.4046000000000007,271,WACM,2017
11,2.3884000000000007,1139,PGE,2016
12,2.3829,1424,PGE,2018
13,2.3729999999999998,379,IPCO,2017
14,2.4019,2703,CISO,2018
15,2.4022,1040,LDWP,2017
16,2.3998000000000004,1513,CISO,2017
17,2.3954000000000004,1318,NEVP,2018
18,2.3609999999999998,116,WACM,2016
19,2.4106,1184,NEVP,2016
20,2.3883,340,IPCO,2018
21,2.4068,676,PACE,2017
22,2.4010000000000002,1569,LDWP,2016
23,2.4033,315,PACE,2018
